[lih] n_qubits=8  n_modes=16  channels=120
candidate grid: t_max=1200.0 (resolution 2pi/t_max=0.0052)  dt=0.25 (Nyquist pi/dt=12.566)

     R     bw99   dw_str n_str   t_need  dt_safe  verdict
  0.80   0.3817   0.0025     3   2513.3    3.292  FAIL
  0.85   0.3968   0.0304     3    206.7    3.167  PASS
  0.90   0.4147   0.0310     3    202.7    3.030  PASS
  0.95   0.4348   0.0315     3    199.5    2.890  PASS
  1.00   0.1457   0.0145     4    433.3    8.625  PASS
  1.05   0.1514   0.0138     4    455.3    8.300  PASS
  1.10   0.1575   0.0136     4    462.0    7.979  PASS
  1.15   0.1637   0.0134     4    468.9    7.676  PASS
  1.20   0.1698   0.0133     4    472.4    7.401  PASS
  1.25   0.1757   0.0132     4    476.0    7.152  PASS
  1.30   0.1813   0.0131     4    479.6    6.931  PASS
  1.35   0.1867   0.0130     4    483.3    6.731  PASS
  1.40   0.1917   0.0128     4    490.9    6.555  PASS
  1.45   0.1964   0.0127     4    494.7    6.398  PASS
  1.50   0.2007   0.0125     4    502.7    6.261  PASS
  1.55   0.2047   0.0123     4    510.8    6.139  PASS
  1.60   0.2083   0.0121     4    519.3    6.033  PASS
  1.65   0.2115   0.0120     4    523.6    5.942  PASS
  1.70   0.2145   0.0118     4    532.5    5.858  PASS
  1.75   0.2171   0.0117     4    537.0    5.788  PASS
  1.80   0.2194   0.0116     4    541.7    5.728  PASS
  1.85   0.2214   0.0115     4    546.4    5.676  PASS
  1.90   0.2232   0.0114     4    551.2    5.630  PASS
  1.95   0.2246   0.0113     4    556.0    5.595  PASS
  2.00   0.2259   0.0113     4    556.0    5.563  PASS
  2.05   0.2269   0.0112     4    561.0    5.538  PASS
  2.10   0.2277   0.0112     4    561.0    5.519  PASS
  2.15   0.2282   0.0112     4    561.0    5.507  PASS
  2.20   0.2286   0.0112     4    561.0    5.497  PASS
  2.25   0.2288   0.0112     4    561.0    5.492  PASS
  2.30   0.2289   0.0113     4    556.0    5.490  PASS
  2.35   0.2287   0.0113     4    556.0    5.495  PASS
  2.40   0.2284   0.0113     4    556.0    5.502  PASS
  2.45   0.2280   0.0114     4    551.2    5.512  PASS
  2.50   0.2275   0.0114     4    551.2    5.524  PASS
  2.55   0.2268   0.0115     4    546.4    5.541  PASS
  2.60   0.2260   0.0116     4    541.7    5.560  PASS
  2.65   0.2252   0.0117     4    537.0    5.580  PASS
  2.70   0.2242   0.0118     4    532.5    5.605  PASS
  2.75   0.2231   0.0119     4    528.0    5.633  PASS
  2.80   0.2219   0.0120     4    523.6    5.663  PASS
  2.85   0.2207   0.0122     4    515.0    5.694  PASS
  2.90   0.2194   0.0123     4    510.8    5.728  PASS
  2.95   0.2180   0.0124     4    506.7    5.764  PASS
  3.00   0.2166   0.0126     4    498.7    5.802  PASS
  3.05   0.2151   0.0127     4    494.7    5.842  PASS
  3.10   0.2135   0.0129     4    487.1    5.886  PASS
  3.15   0.2119   0.0131     4    479.6    5.930  PASS
  3.20   0.2103   0.0133     4    472.4    5.975  PASS
  3.25   0.2086   0.0136     4    462.0    6.024  PASS
  3.30   0.2068   0.0138     4    455.3    6.077  PASS
  3.35   0.2051   0.0140     4    448.8    6.127  PASS
  3.40   0.2033   0.0143     4    439.4    6.181  PASS

=== box summary ===
  max bw99 over box    = 0.4348  -> need dt <= pi/bw99 = 7.225
  min dw_strong (codom)= 0.0025  -> need t_max >= 2pi/dw = 2513.3
  1/53 FAIL: 1 unresolved co-dominant (dw<res), 0 aliased (bw99>Nyquist)
  failing R: [0.8]
